time (0.1s);frequency;amplitude;speed (silben/sec)
0;961;0,007781982;
1;18;0,000793457;
2;478;0,006469727;
3;129;0,001037598;
4;42;0,000915527;
5;129;0,000732422;
6;468;0,001403809;
7;476;0,010314941;
8;57;0,000793457;
9;9;0,00112915;
10;5;0,001373291;
11;0;0,000366211;
12;0;0,000549316;
13;1;0,00112915;
14;0;0,000640869;
15;0;0,000549316;
16;236;0,048736572;4,6
17;794;0,014862061;4,6
18;934;0,063873291;4,6
19;992;0,045440674;4,6
20;475;0,024902344;4,6
21;219;0,096618652;4,6
22;77;0,146179199;4,6
23;61;0,06237793;4,6
24;53;0,051818848;4,6
25;27;0,002258301;4,6
26;49;0,051727295;4,6
27;376;0,038543701;4,6
28;921;0,036499023;4,6
29;816;0,033752441;4,6
30;359;0,017883301;4,6
31;481;0,050201416;4,6
32;1007;0,057525635;4,6
33;335;0,023895264;4,6
34;54;0,049957275;4,6
35;305;0,040740967;4,6
36;678;0,027954102;4,6
37;886;0,020324707;4,6
38;492;0,015960693;4,6
39;301;0,009429932;
40;18;0,000732422;
41;12;0,000488281;
42;2;0,000366211;
43;0;0,000396729;
44;0;0,000366211;
45;0;0,000427246;
46;0;0,000335693;
47;1;0,000335693;
48;0;0,000152588;
49;0;0,000152588;
50;0;0,000183105;
51;0;0,000640869;
52;0;0,000854492;
53;0;0,000457764;
54;0;0,000518799;
55;1;0,000732422;
56;0;0,000579834;
57;0;0,000701904;
58;0;0,000823975;
59;1;0,000549316;
60;0;0,000732422;
61;0;0,000488281;
62;1;0,000427246;
63;1;0,000457764;
64;0;0,000701904;
65;0;0,000305176;
66;0;0,000457764;
67;79;0,002532959;3,3
68;279;0,065338135;3,3
69;317;0,317230225;3,3
70;1078;0,131164551;3,3
71;387;0,355255127;3,3
72;109;0,488677979;3,3
73;210;0,231231689;3,3
74;209;0,186035156;3,3
75;1270;0,03137207;3,3
76;82;0,204437256;3,3
77;454;0,177459717;3,3
78;703;0,024871826;3,3
79;245;0,009277344;3,3
80;30;0,000976563;
81;13;0,000518799;
82;12;0,000396729;
83;1;0,000701904;
84;1;0,000305176;
85;0;0,000579834;
86;2;0,000305176;
87;0;0,000518799;
88;2;0,000335693;
89;2;0,001068115;
90;0;0,000732422;
91;1;0,000915527;
92;3;0,000366211;
93;0;0,000610352;
94;0;0,001068115;
95;0;0,000549316;
96;0;0,000152588;
97;0;0,000183105;
98;1;0,000213623;
99;0;0,000274658;
100;135;0,001190186;
101;3;0,000732422;
102;0;0,000152588;
103;0;0,000152588;
104;387;0,035247803;5
105;184;0,042999268;5
106;114;0,046020508;5
107;1056;0,056640625;5
108;1001;0,055664063;5
109;370;0,028686523;5
110;197;0,025024414;5
111;268;0,036132813;5
112;262;0,042633057;5
113;95;0,04598999;5
114;97;0,069885254;5
115;75;0,055664063;5
116;49;0,028167725;5
117;72;0,020629883;5
118;732;0,011566162;5
119;397;0,021514893;5
120;79;0,014038086;5
121;850;0,048278809;5
122;1289;0,041534424;5
123;54;0,059844971;5
124;174;0,043212891;5
125;140;0,022979736;5
126;207;0,023193359;5
127;884;0,024047852;5
128;832;0,024383545;5
129;223;0,005981445;
130;57;0,000946045;
131;27;0,000366211;
132;8;0,000457764;
133;3;0,000518799;
134;0;0,000396729;
135;0;0,00088501;
136;0;0,000305176;
137;3;0,001220703;
138;1;0,000396729;
139;0;0,001068115;
140;0;0,000183105;
141;0;0,000183105;
142;0;0,000183105;
143;0;0,000244141;
144;0;0,000427246;
145;1;0,000396729;
146;0;0,001098633;
147;44;0,079223633;4,2
148;241;0,626312256;4,2
149;1057;0,292694092;4,2
150;1433;0,151947021;4,2
151;956;0,137878418;4,2
152;111;0,418304443;4,2
153;121;0,49206543;4,2
154;88;0,520690918;4,2
155;184;0,200897217;4,2
156;824;0,061950684;4,2
157;967;0,060638428;4,2
158;276;0,189697266;4,2
159;1009;0,088043213;4,2
160;1409;0,068786621;4,2
161;386;0,049804688;4,2
162;165;0,130981445;4,2
163;644;0,099609375;4,2
164;994;0,094970703;4,2
165;846;0,121246338;4,2
166;496;0,063537598;4,2
167;76;0,01348877;4,2
168;14;0,009735107;
169;46;0,002685547;
170;17;0,001220703;
171;11;0,000366211;
172;2;0,005096436;
173;3;0,006286621;
174;0;0,00177002;
175;0;0,000488281;
176;154;0,0262146;
177;29;0,003601074;
178;0;0,000396729;
179;0;0,000213623;
180;0;0,000213623;
181;0;0,000152588;
182;0;0,000183105;
183;0;0,000183105;
184;1;0,000244141;
185;0;0,000183105;
186;414;0,06427002;2,8
187;866;0,152526855;2,8
188;536;0,181335449;2,8
189;149;0,13949585;2,8
190;466;0,163757324;2,8
191;494;0,119537354;2,8
192;483;0,113739014;2,8
193;730;0,101867676;2,8
194;548;0,023071289;2,8
195;31;0,001251221;2,8
196;20;0,000518799;2,8
197;528;0,011230469;2,8
198;189;0,0050354;2,8
199;41;0,000610352;
200;74;0,008880615;
201;43;0,001220703;
202;70;0,002075195;
203;295;0,006713867;
204;65;0,023590088;
205;5;0,000244141;
206;0;0,000244141;
207;1;0,000213623;
208;0;0,000213623;
209;0;0,000366211;
210;1;0,000457764;
211;1;0,000305176;
212;0;0,000183105;
213;2;0,173522949;
